rom_name,game_probability,screenshots_captured,visual_entropy,edge_density,unique_colors,has_motion,is_black_screen
temp_000006_0.524_1749327352.bin_F000,1.0,1,0.29000802376826007,0.005936254433503048,1.203125,0,0
temp_000006_0.544_1749327152.bin_F000,1.0,1,0.3321746461086199,0.016676067183357533,1.52734375,0,0
temp_000009_0.536_1749327159.bin_F000,1.0,1,0.12707009996749968,0.003621361937102387,1.59375,0,0
temp_000012_0.540_1749327293.bin_F000,1.0,1,0.18034898794380028,0.006650189704880057,1.05859375,0,0
temp_000015_0.552_1749327172.bin_F000,1.0,1,0.3696927428794523,0.005621244601205688,0.92578125,0,0
temp_000022_0.539_1749327185.bin_F000,1.0,1,0.20286679171572033,0.0005012547339778152,0.08203125,0,0
temp_000023_0.532_1749327384.bin_F000,1.0,1,0.2825997348899681,0.01677247512146082,0.83203125,0,0
temp_000027_0.555_1749327384.bin_F000,1.0,1,0.4064250256625464,0.015225593522678443,0.80078125,0,0
temp_000047_0.536_1749327224.bin_F000,1.0,1,0.31763070443722397,0.018209184817814413,0.7421875,0,0
temp_000066_0.545_1749327253.bin_F000,1.0,1,0.21171758236361596,0.00929644853041549,0.19921875,0,0
temp_000081_0.525_1749327474.bin_F000,1.0,1,0.02159379248773198,0.0015392914407783666,0.328125,0,1
temp_000102_0.532_1749327517.bin_F000,1.0,1,0.3627945203978411,0.011979456809488335,1.07421875,0,0
temp_000107_0.537_1749327524.bin_F000,1.0,1,0.3032881842384625,0.014111064555739268,1.265625,0,0
temp_000192_0.532_1749327663.bin_F000,1.0,1,0.23080200701239148,0.007070760918271462,0.77734375,0,0
temp_000202_0.554_1749327676.bin_F000,1.0,1,0.3682305400885619,0.01795224888717891,0.796875,0,0
temp_000212_0.522_1749327708.bin_F000,1.0,1,0.394199027728719,0.01086360992564314,1.12109375,0,0
temp_000214_0.535_1749327708.bin_F000,1.0,1,0.3306190401318191,0.015863505686402816,0.2421875,0,0
temp_000229_0.532_1749327727.bin_F000,1.0,1,0.2954180806957749,0.0069989960456491905,0.1171875,0,0
temp_000236_0.527_1749327733.bin_F000,1.0,1,0.3555187684830641,0.017145926188680608,1.6015625,0,0
temp_000267_0.536_1749327796.bin_F000,1.0,1,0.3656050669964486,0.023222645030083058,1.21484375,0,0
