ROM,TIA_Count,RIOT_Count,RIOT_Timer,RIOT_IO,Branches,Jumps,Opcodes,Score
Cat Trax.bin,251,98,77,21,327,154,140,0.9454
Cathouse Blues.bin,237,127,93,34,306,123,140,0.9296
Catmouse.bin,251,98,77,21,327,154,140,0.9454
Centipede.bin,517,160,98,62,621,183,149,0.9430
Challenge (Alt).bin,388,173,132,41,694,293,149,0.9435
Challenge of...NEXAR.bin,165,53,46,7,347,69,139,0.9572
Chase the Chuckwagon.bin,258,133,125,8,214,124,142,0.9313
Checkers (32 in 1) (PAL).bin,88,52,46,6,179,101,125,0.9485
Checkers (Activision).bin,88,52,46,6,181,101,129,0.9475
China Syndrome.bin,183,94,79,15,277,86,141,0.9385
Chopper Command (CCE).bin,255,76,58,18,403,83,147,0.9438
Chuck Norris Superkicks.bin,274,123,94,29,673,201,149,0.9385
Chuckick.bin,274,123,94,29,673,201,149,0.9385
Chuckwgn.bin,258,133,125,8,214,124,142,0.9313
Circus Atari.bin,148,33,31,2,264,65,145,0.9620
Circus-j.bin,151,34,32,2,273,76,145,0.9603
climber5_NTSC.bin,241,74,69,5,343,78,145,0.9343
Clown Downtown (PAL).bin,199,104,84,20,209,162,145,0.9250
Coconuts.bin,220,79,66,13,368,103,143,0.9273
Code Breaker (1).bin,105,134,101,33,178,38,132,0.9463
Code Breaker (2).bin,210,268,202,66,356,76,132,0.9463
Coke Wins.bin,229,50,45,5,317,104,139,0.9409
Coln.bin,123,104,87,17,565,179,141,0.9393
Color Bar Generator.bin,312,115,87,28,176,106,149,0.9138
Colors Demo.bin,18,8,6,2,8,1,29,0.2782
Combat (32 in 1) (PAL).bin,101,51,32,19,176,52,138,0.9342
Combat - Tank Plus (4k Version).bin,194,102,64,38,350,108,135,0.9340
combat2.bin,346,32,24,8,465,241,147,0.9533
Commando Raid.bin,252,99,94,5,362,91,140,0.9417
Commando.bin,752,356,334,22,653,416,148,0.9288
Concentration.bin,71,19,16,3,175,23,127,0.9365
Condor Attack.bin,319,86,83,3,276,68,142,0.9431
CONDOR.BIN,319,86,83,3,276,68,142,0.9431
confrontation.bin,225,136,99,37,411,126,141,0.9394
Congbong.bin,543,117,102,15,793,180,149,0.9402
Congo Bongo.bin,543,117,102,15,793,180,149,0.9402
Conquest of Mars.bin,799,229,193,36,1459,491,151,0.9406
Cookie Monster Munch.bin,409,199,167,32,551,151,150,0.9329
Corrida da Matematica (CCE).bin,111,106,86,20,408,116,138,0.9394
Cosmic Ark (CCE).bin,218,59,54,5,409,100,141,0.9500
Cosmic Commuter.bin,299,63,54,9,387,77,148,0.9423
Cosmic Corridor.bin,192,91,81,10,818,114,140,0.9541
Cosmic Creeps.bin,174,66,24,42,234,129,140,0.9432
Cosmic Swarm (32 in 1) (PAL).bin,105,21,16,5,181,46,119,0.9293
Cosmic Swarm (4k Version).bin,206,42,32,10,362,92,119,0.9293
Cosmic Swarm.bin,103,21,16,5,181,46,119,0.9293
Cracked.BIN,1046,260,207,53,819,266,151,0.9306
Crackpots.bin,361,98,74,24,322,76,147,0.9395
Crash Dive.bin,227,100,70,30,369,100,150,0.9398
Crazy Climber.bin,413,173,134,39,646,217,150,0.9355
crazyballoon-ntsc.bin,145,52,44,8,395,55,143,0.9205
CrazyValet.bin,184,45,41,4,247,56,122,0.9122
Criminal Pursuit.bin,347,101,93,8,367,68,144,0.9370
Cross Force.bin,173,67,52,15,320,135,141,0.9413
Crossbow.bin,1257,271,220,51,1412,426,151,0.9364
Cruise Missile.bin,268,60,54,6,350,106,130,0.9506
Crusmisl.bin,268,60,54,6,350,106,130,0.9506
Crypts of Chaos.bin,134,35,32,3,365,77,145,0.9308
Crystal Castles.bin,288,188,140,48,954,381,151,0.9379
Cubicolor.bin,392,96,70,26,345,104,136,0.9452
Cubo Magico (CCE).bin,391,93,70,23,343,106,135,0.9449
Custerev.bin,162,43,36,7,1122,99,134,0.9562
Dancing Plate (PAL).bin,214,110,87,23,452,116,141,0.9390
Darkcham.bin,504,273,252,21,1279,271,151,0.9145
Darkcvrn.bin,200,79,38,41,321,123,143,0.9391
darkmage.bin,161,79,71,8,247,170,128,0.9155
Deadly Duck.bin,337,71,50,21,275,69,138,0.9460
Death Trap.bin,317,108,81,27,307,161,143,0.9415
Decathlon.bin,456,132,107,25,778,117,149,0.9418
Defender 2 (16K version).bin,490,288,254,34,1604,288,151,0.9424
Defender 2.bin,245,144,127,17,802,144,151,0.9423
Defender.bin,155,90,55,35,398,94,141,0.9438
Demolition Herby.bin,156,63,58,5,288,95,137,0.9358
Demon Attack (Activision).bin,176,76,41,35,414,111,145,0.9428
Demons to Diamonds.bin,183,53,43,10,389,75,145,0.9449
Desert Falcon.bin,355,211,163,48,1342,290,151,0.9343
Dethstar.bin,376,228,210,18,716,260,150,0.9395
Dice Puzzle.bin,155,91,76,15,299,153,141,0.9491
Dig Dug.bin,629,261,183,78,1748,410,151,0.9355
Dishastr.bin,195,90,71,19,289,100,143,0.9290
Dodge Em.bin,203,145,113,32,431,201,140,0.9467
Dolphin.bin,302,82,77,5,424,105,143,0.9459
Donald Duck's Speedboat.bin,276,119,108,11,473,94,148,0.9345
Donkey Kong Jr. (CCE).bin,651,78,58,20,696,204,147,0.9411
Donkey Kong.bin,180,79,56,23,344,57,145,0.9461
Double Dragon.bin,488,251,189,62,1272,378,151,0.9290
Double Dunk.bin,857,416,348,68,1376,415,151,0.9406
Dragon Defender.bin,189,106,81,25,380,106,138,0.9440
Dragonfire.bin,209,88,61,27,389,69,143,0.9399
Dragster (1).bin,123,39,33,6,149,35,138,0.9445
Dragster (2).bin,246,78,66,12,298,70,138,0.9445
Drgndfnd.bin,189,106,81,25,380,106,138,0.9440
Dschungle Boy (Pitfall).bin,245,79,61,18,307,59,142,0.9401
Duck Shoot (PAL).bin,230,38,31,7,378,146,144,0.9414
Dukes of Hazzard.bin,444,365,229,136,842,343,151,0.9366
dukes_v2.bin,174,156,108,48,314,60,119,0.9375
Dumbo's Flying Circus.bin,199,120,94,26,560,211,151,0.9281
dune.bin,174,69,53,16,299,83,147,0.9567
E.T..bin,267,252,199,53,702,163,150,0.9328
Earth Dies Screaming.bin,247,69,45,24,318,53,147,0.9437
Eggomania.bin,139,66,28,38,307,105,142,0.9311
ElevatorAction.bin,362,154,129,25,718,109,149,0.9519
Eliladdr.bin,374,76,66,10,255,77,143,0.9398
Elk Attack.bin,293,112,96,16,390,149,150,0.9408
Encounter at L5.bin,187,84,82,2,268,51,140,0.9382
Enduro.bin,277,88,55,33,287,72,144,0.9437
Entity.BIN,259,94,75,19,318,83,143,0.9398
Entombed.bin,172,72,67,5,367,125,131,0.9509
Espial.bin,42,141,100,41,444,193,148,0.8842
Euchre.bin,235,88,79,9,360,119,141,0.9412
EuchrePAL.bin,235,89,79,10,363,119,141,0.9418
Ewok Adventure (Parker Bros, Thomas Jentzsch) (NTSC).bin,297,107,89,18,772,270,151,0.9349
Ewokadvn.bin,300,107,89,18,776,265,151,0.9336
